Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      205.1   100.0    50.7    84.7    96.4   196.7   240.3   264.0   279.4   296.3   317.0   345.9   417.5   712.3  2282.6  34117.8    34088
read      214.0   171.0    50.7    87.5    97.4   172.3   221.9   254.8   281.7   314.9   363.2   467.1   739.5  1837.8  4772.7 113388.4   113600
read      189.1   103.1    50.7    88.5    98.4   167.9   209.0   234.3   254.4   277.9   306.8   347.6   432.5  1091.2  2853.8 131967.6   131842
read      188.5    98.2    50.7    86.1    95.6   166.6   211.6   239.5   260.9   284.7   312.9   352.3   431.0   815.7  2419.3 112369.8   112066
read      203.0   108.1    50.7    84.5    94.4   182.2   235.8   265.7   285.9   308.8   337.8   384.0   477.8   934.2  1936.5  72573.0    72585
read      235.9   260.2    50.7    90.8   102.0   181.7   228.4   257.4   279.1   305.8   342.1   422.6  1474.1  2696.5  7002.5 133541.8   133669
read      168.8   158.8    50.7    89.9   102.6   161.9   181.6   192.9   201.0   211.6   224.9   247.7   305.2  1005.1  7000.8  11836.6    11820
read      161.0    60.8    54.7    85.0    98.2   158.1   178.3   189.6   198.3   208.7   221.7   245.0   296.0   606.8  1479.3  12641.6    12639
read      198.1   109.0    46.9    86.8    96.5   168.9   217.8   249.6   273.7   303.0   340.3   399.6   536.9   733.6  1091.1 118340.2   118548
read      199.8    88.8    54.7    98.4   110.4   183.7   223.7   247.5   265.2   285.8   311.6   348.9   427.5   578.5  2796.6 165785.2   165754
read      190.1    91.8    46.9    85.7    95.1   171.9   220.6   246.7   265.2   286.0   311.7   347.4   417.6   512.9  1508.4  87061.4    86823
read      171.3    74.7    50.7    90.0   102.4   168.5   191.0   202.8   212.3   223.0   236.4   260.4   311.3   600.3  2521.5  16933.0    16898
read      194.3   110.4    50.7    87.9    97.7   169.3   214.3   242.4   264.3   289.9   322.1   374.0   507.0   792.2  3686.3 122996.6   123124
read      205.6   112.5    50.7    85.9    95.9   184.6   238.3   267.8   288.0   310.9   339.6   385.6   492.1  1031.6  2905.2  72269.2    72278
read      215.4   198.4    50.7    86.8    97.4   202.3   248.1   273.5   291.5   312.2   338.2   377.0   462.1  1513.5 11175.7  47753.6    47757
read      226.4   134.3    50.7    84.1    94.2   202.9   267.2   303.1   327.8   355.7   389.2   434.6   531.8  1357.0  2743.8  60509.4    60510
read      201.6    87.9    50.7    87.0    99.4   195.5   232.7   253.7   268.0   284.0   303.6   334.3   399.9   615.5  1801.0  25216.4    25237
